country_code,sampling_point,pollutant_code,unit,year,raw_rows,valid_hours,annual_mean,first_observation,last_observation_end,source_zip,source_member,coverage_pct,country_name,pollutant_name,who_2021_threshold,eu_2030_threshold,eu_current_threshold,above_who_2021,above_eu_2030,above_eu_current,distance_to_who_2021,distance_to_eu_2030
DE,DE/SPO.DE_DEBB073_NO2_dataGroup1,8,ug.m-3,2024,8760,8746,20.204,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB073_NO2_dataGroup1.parquet,99.57,Germany,NO2,10.0,20.0,40.0,True,True,False,10.204,0.204
DE,DE/SPO.DE_DEBB075_NO2_dataGroup1,8,ug.m-3,2024,8760,8748,8.007,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB075_NO2_dataGroup1.parquet,99.59,Germany,NO2,10.0,20.0,40.0,False,False,False,-1.993,-11.993
DE,DE/SPO.DE_DEBB083_NO2_dataGroup1,8,ug.m-3,2024,8760,8750,5.995,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB083_NO2_dataGroup1.parquet,99.61,Germany,NO2,10.0,20.0,40.0,False,False,False,-4.005,-14.005
DE,DE/SPO.DE_DEBB086_NO2_dataGroup1,8,ug.m-3,2024,8760,8747,8.748,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB086_NO2_dataGroup1.parquet,99.58,Germany,NO2,10.0,20.0,40.0,False,False,False,-1.252,-11.252
DE,DE/SPO.DE_DEBB092_NO2_dataGroup1,8,ug.m-3,2024,8760,8669,8.629,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB092_NO2_dataGroup1.parquet,98.69,Germany,NO2,10.0,20.0,40.0,False,False,False,-1.371,-11.371
DE,DE/SPO.DE_DEBB109_NO2_dataGroup1,8,ug.m-3,2024,8760,8645,8.491,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB109_NO2_dataGroup1.parquet,98.42,Germany,NO2,10.0,20.0,40.0,False,False,False,-1.509,-11.509
DE,DE/SPO.DE_DEBB110_NO2_dataGroup1,8,ug.m-3,2024,8760,8714,7.574,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB110_NO2_dataGroup1.parquet,99.2,Germany,NO2,10.0,20.0,40.0,False,False,False,-2.426,-12.426
DE,DE/SPO.DE_DEBB111_NO2_dataGroup1,8,ug.m-3,2024,8760,8744,8.324,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB111_NO2_dataGroup1.parquet,99.54,Germany,NO2,10.0,20.0,40.0,False,False,False,-1.676,-11.676
DE,DE/SPO.DE_DEBB112_NO2_dataGroup1,8,ug.m-3,2024,8760,8721,11.059,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBB112_NO2_dataGroup1.parquet,99.28,Germany,NO2,10.0,20.0,40.0,True,False,False,1.059,-8.941
DE,DE/SPO.DE_DEBE010_NO2_dataGroup1,8,ug.m-3,2024,8760,8734,17.217,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO.DE_DEBE010_NO2_dataGroup1.parquet,99.43,Germany,NO2,10.0,20.0,40.0,True,False,False,7.217,-2.783
