country_code,sampling_point,pollutant_code,unit,year,raw_rows,valid_hours,annual_mean,first_observation,last_observation_end,source_zip,source_member,coverage_pct,country_name,pollutant_name
IT,IT/SPO.IT2326A_6001_light-scat_2014-01-01_00:00:00,6001,ug.m-3,2024,8760,6168,18.690337224383917,2024-01-01 00:00:00,2024-12-30 19:00:00,raw_de_it_pm25_2024.zip,E1a/SPO.IT2326A_6001_light-scat_2014-01-01_00_00_00.parquet,70.21857923497268,Italy,PM2.5
FR,FR/SPO-FR04012_8,8,ug.m-3,2024,1008,955,29.216439790575915,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR04012_8.parquet,10.872040072859745,France,NO2
FR,FR/SPO-FR04051_8,8,ug.m-3,2024,8760,6561,19.043682365493066,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR04051_8.parquet,74.69262295081967,France,NO2
FR,FR/SPO-FR04179_8,8,ug.m-3,2024,3720,3559,16.466114076987918,2024-01-01 00:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR04179_8.parquet,40.516848816029146,France,NO2
FR,FR/SPO-FR07009_8,8,ug.m-3,2024,1201,1084,25.365867158671584,2024-01-01 00:00:00,2024-02-15 11:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR07009_8.parquet,12.340619307832423,France,NO2
FR,FR/SPO-FR08004_8,8,ug.m-3,2024,2425,2405,21.471559251559253,2024-01-01 00:00:00,2024-04-10 10:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR08004_8.parquet,27.379326047358834,France,NO2
FR,FR/SPO-FR10012_8,8,ug.m-3,2024,1,1,2.9,2024-01-01 00:00:00,2024-01-01 01:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR10012_8.parquet,0.011384335154826957,France,NO2
FR,FR/SPO-FR10030_8,8,ug.m-3,2024,479,187,13.739037433155081,2024-12-23 01:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR10030_8.parquet,2.1288706739526413,France,NO2
FR,FR/SPO-FR11007_8,8,ug.m-3,2024,361,250,18.8592,2024-01-01 00:00:00,2024-01-12 11:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR11007_8.parquet,2.8460837887067396,France,NO2
FR,FR/SPO-FR11114_8,8,ug.m-3,2024,599,561,10.216221033868093,2024-12-06 13:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR11114_8.parquet,6.386612021857924,France,NO2
FR,FR/SPO-FR14029_8,8,ug.m-3,2024,4897,4866,5.43446362515413,2024-01-01 00:00:00,2024-07-22 01:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR14029_8.parquet,55.39617486338798,France,NO2
FR,FR/SPO-FR15013_8,8,ug.m-3,2024,1465,1439,16.07790132036136,2024-01-01 00:00:00,2024-03-01 10:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR15013_8.parquet,16.382058287795992,France,NO2
FR,FR/SPO-FR15038_8,8,ug.m-3,2024,1921,1907,22.91463030938647,2024-01-01 00:00:00,2024-03-20 15:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR15038_8.parquet,21.709927140255008,France,NO2
FR,FR/SPO-FR16040_8,8,ug.m-3,2024,1,1,8.7,2024-01-01 00:00:00,2024-01-01 01:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR16040_8.parquet,0.011384335154826957,France,NO2
FR,FR/SPO-FR18058_8,8,ug.m-3,2024,7319,5984,5.6681316844919785,2024-01-01 01:00:00,2024-12-31 00:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR18058_8.parquet,68.12386156648452,France,NO2
FR,FR/SPO-FR20046_8,8,ug.m-3,2024,97,81,15.207407407407407,2024-01-01 00:00:00,2024-01-04 09:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR20046_8.parquet,0.9221311475409836,France,NO2
FR,FR/SPO-FR21021_8,8,ug.m-3,2024,3865,3780,8.842486772486774,2024-01-01 00:00:00,2024-06-12 09:00:00,raw_fr_de_it_no2_2024.zip,E1a/SPO-FR21021_8.parquet,43.032786885245905,France,NO2
